player,balance,1500m,squat,jump,sprint,agility,drib,jugg,voll,pass,head
1,6.485,4.297994269,361,2.67,7.272727273,3.601286174,2.545454545,14.8,11.76470588,20.40816327,15.15151515
2,25,4.602194357,100,2.55,7.2142,3.530338849,2.554161916,26.5,11,31.40816327,14.49275362
3,3.92,3.916449086,87,2.51,6.430868167,3.412033511,2.471042471,10.11111111,11.76470588,17.85714286,14.49275362
4,20,3.605769231,85,2.36,6.700167504,3.227665706,2.175813502,14.5,12.80855095,18.87122097,13.70566145
5,46.7,4.06504065,141,2.52,6.920415225,3.446153846,2.471042471,8.4,10.73989412,21.81724959,16.55007629
6,60,3.778337531,172,2.53,6.666666667,3.530338849,2.621416033,21.15384615,11.62790698,24.3902439,15.38461538
7,30.925,3.759398496,80,2.19,6.4,3.318518519,2.528216704,10.84210526,12.5,37.03703704,18.18181818
8,35.155,4.360465116,216,2.38,7.194244604,3.530338849,2.554161916,9.428571429,10,20.40816327,14.49275362
9,21.815,3.797468354,81,2.42,6.600660066,3.538704581,2.425554954,13.41176471,8.771929825,45.45454545,15.15151515
10,34.99,4.702194357,189,2.72,7.434944238,3.601286174,2.635294118,12.21428571,13.33333333,50,18.18181818
11,54,4.36826087,124,2.46,7.168458781,3.265306122,2.751842752,18.5,11.5,42,4.181818182
12,32,4.672897196,200,2.43,7.079646018,3.373493976,2.700421941,25.1,12,30.40816327,14.49275362
13,16.78,3.947368421,193,2.43,6.493506494,3.666121113,2.528216704,15.23076923,9.523809524,30.3030303,15.38461538
14,10.325,4.731861199,92,2.47,6.884681583,3.49726776,2.378216704,9.428571429,8.590150046,10.81325938,8.680930735
15,21.845,4.347826087,84,2.05,6.734006734,3.381132075,2.551252847,12.17647059,9.803921569,24.3902439,13.15789474
16,24,4.518072289,132,2.23,7.117437722,3.49726776,2.417701025,11.84210526,12.67651866,40.90722316,18.58660203
17,40,4.447826087,100,2.35,7.268458781,3.365306122,2.751842752,17.5,13.67651866,46.90722316,17.58660203
18,12,3.739849624,80,2.56,7.490636704,3.51372549,2.555618939,8.842105263,8.839215686,22.3902439,11.15789474
19,8.94,4.601226994,79,2.51,7.104795737,3.584,2.528216704,24.5,9.174311927,20,16.12903226
20,30.435,4.178272981,106,2.58,6.25,3.564041368,2.630651791,39.85714286,10,27.02702703,19.23076923
21,35,4.447826087,110,2.48,6.944444444,3.430321593,2.784338098,13.66470588,13.17651866,43.90722316,18.08660203
22,12,4.531722054,80,2.22,6.230868167,3.311160384,2.523943662,7.842105263,7.803921569,18.3902439,11.15789474
23,8.53,4.854368932,164,2.56,6.666666667,3.575418994,2.515440764,15.29411765,9.433962264,32.25806452,18.18181818
24,20.735,4.518072289,100,2.36,7.067137809,3.414634146,2.674626866,20.46153846,13.88888889,37.03703704,17.54385965
